,Username,Content,Location,Created at
308,elpina_rambe,"""webiner penanganan covid-19 varian omicron"" @imansyukri  @malik_haramain  @halimiskandarnu  @taufikmadjid  @cakiminow  @kemendespdtt  @kpw1_tppisumut  @tpplabuhanbatu",,2022-02-04 06:53:57
309,diopratama012,"@dpr_ri semoga cepet ada solusi terbaik nya, satu sisi anak sekolah butuj interaksi, di sisi lain nya ada lonjakan kasus omicron, serem",,2022-02-04 06:53:32
310,RepelitaO,"hilmi firdausi tanggapi video kerumunan imlek di mal bandung, netizen: omicron adanya di masjid saat puasa  lewat @repelita online",,2022-02-04 06:53:23
311,haibundacom,virus covid-19 varian omicron sudah ditemukan di indonesia. simak 8 fakta ilmiah tentang varian omicron seperti yang sudah dipublikasikan para ahli berikut,Indonesia,2022-02-04 06:53:10
312,fyzagon,omicron kawin lagi kek bang toyib,Mostly Mars.,2022-02-04 06:53:09
313,EkaSilawati2,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 06:52:44
314,jawapos,"khawatir omicron, liga teratas indonesia resmi ditunda","Gedung Graha Pena Lt.10, Jl. R",2022-02-04 06:52:44
315,EkaSilawati2,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 06:52:43
316,forjakeu,"melonjaknya kasus positif covid-19 membuat masyarakat diimbau untuk segera vaksinasi, khususnya booster, untuk melindungi dari varian omicron. penelitian menunjukkan orang yang sudah divaksin lengkap cenderung lebih aman dari serangan penyakit parah.",Indonesian,2022-02-04 06:52:32
317,batikpk,hasil untuk pasaran sydney hari ini adalah : result : 4690 shio : ayam selamat untuk pemenang...!!!  #batikpoker #resultsydney #omicron,,2022-02-04 06:52:25
318,EkaSilawati2,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 06:52:17
319,EkaSilawati2,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 06:52:16
320,gklewat,@noturgurlfwen @xfoikiore mm*k kena omicron, mars,2022-02-04 06:51:39
321,alwidaeng1,"@bachrum_achmadi ya ni,gara² covid19, tak bisa cari hm, apalagi sekarang ada omicron, tambah susah ya pak,",,2022-02-04 06:51:14
322,forjakeu,"gelombang varian omicron menerjang sejumlah negara, tak terkecuali indonesia. pemerintah mencatat adanya kenaikan kasus yang signifikan beberapa waktu terakhir, dan diperkirakan puncak gelombang omicron di indonesia terjadi akhir bulan ini.",Indonesian,2022-02-04 06:51:06
323,Pranjaya2,kwkwkwkkwk... nakut namuti nya makin  menyasar ke  mr mp🤣,,2022-02-04 06:50:58
324,detikHealth,"selain ba.2, omicron memiliki subvarian lain, yaitu ba.1, ba.2, ba.3, dan ba.1.1. namun, subvarian ba.2 juga dijuluki ‘omicron siluman’. apa artinya?",Jakarta - Indonesia,2022-02-04 06:50:57
325,azwarmamun,omicron ajg,"Tangerang, Indonesia",2022-02-04 06:50:37
326,fajaronline,"rsud penuh, empat pasien covid-19 terpaksa di rawat igd karena tak kebagian kamar  #bor #covid-19 #omicron #rsudtangerang","Jakarta, Indonesia",2022-02-04 06:50:24
327,sebilbla,"omicron meresahkan nih, gue mau liburan dulu anjirrrr",,2022-02-04 06:50:14
328,DamaiyantiRindu,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 06:49:54
329,DamaiyantiRindu,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 06:49:52
330,PanggaHasibuan,"omicron kebal faksin tapi dapat diatur, omicron mulai melanda jakarta,selamat pingsan saudaraku,","Ingin Jaya, Indonesia",2022-02-04 06:49:45
331,DamaiyantiRindu,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 06:49:23
332,DamaiyantiRindu,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 06:49:22
333,Ryozigend,"@musniumar ati2 mus, omicron bisa bikin tytyd menyusut,",,2022-02-04 06:49:08
334,Bp_HasbiJunaedi,486 warga surabaya jawa timur terpapar wabah virus omicron. @radioelshinta @sonorafm92 @rriprograma3 @e100ss @prfmnews,"BOGOR, REPUBLIK Of INDONESIA",2022-02-04 06:49:04
335,hekahert,"""kasus covid omicron ri meledak tiap hari, waspadai gejala ini""",Indonesia,2022-02-04 06:48:45
336,Djayeng_seno,waduh musni positif kena virus varian kadrun omicron.,Indonesia,2022-02-04 06:48:23
337,jpnncom,"#beritaterpopuler skenario terburuk lonjakan kasus covid-19, banyumas siapkan 2 langkah antisipasi #skenario #omicron #banyumas",Indonesia,2022-02-04 06:48:22
338,opticmacca,"@nicho_silalahi boss joko kami minta asupan gizi dong, untuk proteksi dari omicron  jgn lempar2 sembako boss. ratusan juta rakyat ini, bukan hanya lg kerumunan waktu boss datang ya. atau yg dipinggi2 jalan oh iya klo ngasih, yg sopan boss, jgn main lempar gimana kbr gibran &amp; kaesang, sehat ?","Bojong Kenyot,Kp. Cerewet ",2022-02-04 06:47:53
339,DianaHeartily,welcome omicron. pemerintah melarang buat kerumunam tapi ah sudahlah nanti dilaporkam ke polisi. #kenaikancovidtembus27r🤦‍♂️🤦‍♂️🤦‍♂️,"Islamabad, Pakistan",2022-02-04 06:47:36
340,jatengtodaycom,"omicron menyerang organ pernapasan, ini gejala yang sering muncul","Central Java, Indonesia",2022-02-04 06:47:20
341,cilukbadalahh,"jangankan omicron kawin sama delta, otopet sama sepeda pancal aja ada",Malang - surabaya,2022-02-04 06:47:18
342,bachrum_achmadi,"kata kpk: gegara covid-19 varian omicron, pengejaran harun masiku dkk jadi tersendat.  🤣🤣🤣 gombal! preet!  apa kabar ktr pdip, knp ga jd di geledah? takut yak? 🤣🤣🤣👎👎👎",Bekasi - Indonesia,2022-02-04 06:46:53
343,sharedciggs,@timpalbali gejala omicron tuhh,Your deepest pit of regret,2022-02-04 06:46:28
344,IndahDyah7,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 06:46:25
345,alan09892662,@utunsikumbang @jabreakyudha @papa_loren @bocorkangsampah virus omicron itu hoax,,2022-02-04 06:46:17
346,nrg07,konteks - sinovac adalah vaksin yang digunakan untuk dosis pertama dan kedua di indonesia. yang bilang bahwa omicron itu “ringan” sebaiknya cari vaksin booster segera.,Singapore - Jakarta,2022-02-04 06:45:52
347,pritiiuu,"bingung si liburan mau kemana, mau keluar ada omicron",yogyakarta,2022-02-04 06:45:49
348,jepiraws,stres krn ada covid varian omicron??? stres krn krs fh lah besti,,2022-02-04 06:45:17
349,AwangSancaka,@musniumar tahu dari mana itu omicron? wong cuma periksa antigen doang.... 😂🤣,di Palung Terdalam,2022-02-04 06:45:04
350,VIVAcoid,"tak dianjurkan konsumsi jeruk saat terpapar omicron, ini kata pakar","Jakarta, Indonesia",2022-02-04 06:45:04
351,zeoenjk,@iiigiselle00 negatif omicron,Busan,2022-02-04 06:45:02
352,amanpulungan,"banyak yg mengatakan omicron ringan. tapi tetap harus hati2. ketika jumlah kasus naik, jumlah yg dirawat juga akan naik. ada 4 kelompok yang harus hati2 sekali 1. lansia 2. yang ada komorbid  3. anak2 . 4. yang belum divaksin covid",Jakarta,2022-02-04 06:44:54
353,detikcom,"omicron, delta, lambda, beta, alpha, varian dari covid-19 sudah berevoluasi banyak sejak dua tahun terakhir. apakah virus lainnya juga seperti itu?","Jakarta, Indonesia",2022-02-04 06:44:41
354,MexMetropolis,@ninealaine misalkan beliau tidak pergi ke rumah sakit..maka beliau tidak akan mendapat hasil positif covid varian omicron 🤷,🇮🇩,2022-02-04 06:44:37
355,RadenKianSayang,@just_mywin @qaillaasyiqah omicron nya yg takut. sebab bajer nya galak2.... omicron takut dilaporin.. trus digrebek densus di persembuanyiannya... habislah nasib mereka dimari...,"Swansea, Wales",2022-02-04 06:44:06
356,MasyarakatSeh4t,@mariambajry tetap waspada karena omicron bisa menyerang mereka yang telah divaksin,,2022-02-04 06:43:32
357,GusTigaKilogram,"""jokowi: pasien omicron tak perlu ke rs, cukup isolasi di rumah-minum obat""  roman2nya plandemi bakal cepet kelar 🙈🔨",♥️ ɓuǝuƎ ᴉʇɐɥ ᴉp ♥️,2022-02-04 06:43:32
358,relitaNH,"jujurly kmren b aja karna kirain omicron msh di jkt, ternyata udah nyampe dikota sendiri😷",,2022-02-04 06:43:28
359,Dew0W1snu,"rezim jokowi ini luar biasa rasa optimistis nya. di saat ancaman omicron, masih optimis pertumbuhan ekonomi tetap tinggi pada triwulan pertama.   🤟🤟🇮🇩🇮🇩💪💪",In your Heart 💓,2022-02-04 06:43:19
360,NuhaAja1,@nurmansyahaffa1 @moonfinders5 @cnnindonesia emang tau itu krn omicron apa krn abis nonton bioskop kebanyakan makan popcorn?,,2022-02-04 06:43:12
361,IndahDyah7,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 06:42:58
362,FHL_thinx81,@__anakkolong @musniumar sepertinya omicron sangat suka dengan cara batuk anda.....kalau ada apa2 jangan lupa call anies ya😄,,2022-02-04 06:42:49
363,relitaNH,"mulai waswas lagi, kmren dengar kabar teman kantor mama positif covid varian omicron, di.samarinda🥲",,2022-02-04 06:42:47
364,IndahDyah7,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 06:42:34
365,IndahDyah7,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 06:42:32
366,beylaspriana1,"saya tetap pakai masker kemanapun, termasuk sholat jama'ah ke masjid. bukan krn takut omicron. tapi self protected lantaran ketidakbecusan negara ngurusin covid 19.  gimana ngurusin #ikn ya? #iknproyekoligarki",,2022-02-04 06:42:02
367,MariaHanum2,saksikan webinar penanganan covid19 varian omicron siang ini pukul: 14.00 wib @halimiskandarnu @cakiminow @malik_haramain @imansyukri @tppkemendes @kemendespdtt @tppisumut @koorprovsumut @lilisritonga @gunawanabdi7 @tppdeliserdang @siagian_saipul @arisfad02268925 @ritongamunir,,2022-02-04 06:41:42
368,AntonStefanus_,". . kasus omicron dki meningkat !!!  kemaren bukannya baginda @aniesbaswedan abis gegayaan ngajarin pak jokowi ya??!!  kok skarang malah jakarta meningkat??! . .  kasus omicron di dki jakarta terus meningkat, anies minta warga jangan panik dan taat prokes",Bermuda Triangle,2022-02-04 06:41:32
369,tribunjogja,cerita siti badriah terpapar covid-19 probable omicron saat hamil besar  via @tribunjogja,Jl Jend Sudirman 52 Yogyakarta,2022-02-04 06:41:13
370,azkadotid,cdc: belum ada bukti sub-varian omicron lebih buruk dari varian omicron,Sumenep,2022-02-04 06:41:01
371,JeparaPolres,"cegah varian baru (omicron), personil polsek welahan jepara ajak perangkat desa edukasi prokes ke warga","Jepara, Indonesia",2022-02-04 06:41:01
372,azkadotid,cara dapat obat gratis dan telemedicine resmi kemenkes untuk pasien isoman omicron beserta link akses,Sumenep,2022-02-04 06:40:59
373,MNCkoranSINDO,"siti badriah positif covid-19, kenali gejala omicron pada ibu hamil","Jakarta, Indonesia",2022-02-04 06:40:57
374,linna_miss,@laporcovid yang bikin meninggal sblumnya kan demam tinggi dan sesaknapas.jdi pasien drop ketakutan..ini omicron justru lbih tidak membahayakan hingga kematian,,2022-02-04 06:40:38
375,madogascar,beli saham omicron 10 lot,,2022-02-04 06:40:27
376,sendysuwanto,@firzahusainid omicron tidak pandang bulu ada contoh ini 🤣,,2022-02-04 06:40:12
377,goldeneagle2707,"tiba² kepikiran, jgn² pakde berani ngumpulin orang sebanyak ini utk mentahkan semua teori omicron dan covid mematikan karya mafia farmasi.  apapun itu, kita tunggu saja, yg jelas 1 bulan lagi tidak ada kematian massal, fix itu semua omicron teror ketakutan.  anggap sj flu biasa.",,2022-02-04 06:39:55
378,kinniku_man,@aewin86 si omicron ini lebih pinter nyelip kemana²... untungnya lebih mild dan sdh vaksin,,2022-02-04 06:39:30
379,poskotaofficial,"cegah penularan omicron, yuk kenali gejalanya!  cek video selengkapnya disini:   jangan lupa kunjungi  untuk berita lainnya ya!","Jakarta, Indonesia",2022-02-04 06:39:20
380,dewalangit_,@tejowidjojo kamu omicron?,"Kota Surabaya, Jawa Timur",2022-02-04 06:39:10
381,kompascom,pasien covid-19 omicron tanpa gejala atau gejala ringan dapat melakukan isolasi mandiri (isoman) di rumah - #regional #jernihkanharapan,Jakarta,2022-02-04 06:39:00
382,jkhsHigh,omicron aja punya ayang masa lo ngga😔👍🏻,She/her •ISTJ,2022-02-04 06:38:58
383,Uripsant,"tenggorokan terasa nggak enak, omicron semakin menanjak,  selalu jaga hati, pikiran dan jaga prokes, agar tidak kena colok hidung dan mulut #omicron #staysafestayhealthy #covid19","Jakarta Timur, DKI Jakarta",2022-02-04 06:38:53
384,amiii_mr,nambah stres tiap dapat kabar ada yang positif omicron,"ÜT: -7.8020443,110.3227049",2022-02-04 06:38:28
385,attallahsyah,"@rudiatg @edimahamg @dpr_ri @listyosigitp buktinya arteria dahlan sampai sekarang belum di panggil polisi, walaupun sudah dilaporkan. #kelamaan, #lemah, ditutup dengan omicron.",,2022-02-04 06:37:46
386,FirzaHusainID,"hati2 ya sob omicron udah di sekitar kita, tolong yg habis ketemu musni umar segera swab pcr, semoga cepat sembuh 🙏🏻🙏🏻🙏🏻",Jakarta Raya,2022-02-04 06:37:34
387,Diva_UMCA,@republikaonline bisnis omerik &amp; omluhut yg lebih berbahaya dari omicron..,Indonesia,2022-02-04 06:37:30
388,ciwibaek,@txtsambaters @kucengterbanggg aku gamau bb aku makin turun eegara omicron iceunaaah mo makan tapi susah bgt sakit tenggorokan aing,,2022-02-04 06:37:06
389,SETYAKI22965702,@ryawiedy tenang aq msh ada.... 🤭 prof. mu .. positif omicron.. 🤭,SOLO - JABODETABEK Indonesia,2022-02-04 06:35:50
390,hendrijos69,ayo kita ikuti bersama webinar penanganan covid-19 varian omicron jum'at 04-02-2022 salam sehat walafiat  @kemendespdtt @halimiskandarnu @imansyukri @sukoyokasekpro @kpw4jatim @p3md_trenggalek  @shofamubarok1  @hendrijos69  @muhamadiswahyu8  @triand0ko  @mukarmans,,2022-02-04 06:35:41
391,kumparan,siapkah jakarta untuk naik ke ppkm level 3 karena omicron? #kumparannews,,2022-02-04 06:35:05
392,KING__VADUKA,telah ditemukan anak dari varian omicron yg kawin dgn varian delta.... 😳 #viral #salamsantuntamvan,kirim no rekening,2022-02-04 06:34:38
393,Miftah79066543,@xnact emang aturan membedakan omicron dan bukan ?,,2022-02-04 06:34:37
394,cagubnyinyir2,semoga cepat mod @musniumar saya batuk lalu ke rumah sakit mau berobat. disuruh antigen. hasilnya positif covid varian omicron.  @semiaji_w @kodratarief @still_hendro @aladintea70 @rizkir4madani @laingenlisa @sirajapadoha @gundala2221 @gunawan75_ @bhd_8,"Jakarta Capital Region, Indone",2022-02-04 06:34:37
395,madogascar,omicron minder melihat ini,,2022-02-04 06:34:36
396,galamedianews,"siti badriah terpapar omicron saat hamil besar, jenita janet: cepet sembuh ya bumil sehat semangat!","Bandung, Indonesia",2022-02-04 06:34:11
397,FitRadioBandung,"pusing atau sakit kepala ringan disebut sebagai gejala awal infeksi omicron yang kerap diabaikan pasien.  menurut national health service inggris, pusing yang digambarkan seperti saat mengalami vertigo atau bisa juga seperti akan pingsan.  #staysafe #stayfitforlife",Jl. Surya Sumantri No. 6c,2022-02-04 06:34:00
398,khanifudn,@musniumar mana bisa test itu menentukan omicron?,"Gresik, Indonesia",2022-02-04 06:33:42
399,puteirwn,denger2 omicron gejala nya nyeri sendi yaa. yah gue pengkonsumsi neo rheumacyl apakabar?,,2022-02-04 06:33:37
400,garisterdepan,@ihugadel omicron bisa reinfeksi.,in a poetry she cannot write. ,2022-02-04 06:33:19
401,newsmerahputih,"terhitung sejak 12 januari 2022, program vaksin booster telah diberikan secara gratis untuk masyarakat indonesia sesuai dengan arahan presiden joko widodo.  #merahputihcom #jokowi #vaksinbooster",Jakarta,2022-02-04 06:33:00
402,jokotolo4,@__anakkolong @musniumar lho...kok dia bisa tahu varian omicron? memang klu se level profesor iku beda 😂😂😂,Indonesia,2022-02-04 06:32:52
403,celotehanbungsu,pingin me time nonton ku kira kau rumah biar bisa nangis sendiri tp situasi tidak memungkinkan alias omicron kmprt gua jadi parno elahhhh,,2022-02-04 06:32:45
404,GepengSanto,@musniumar omicron rasa varian mangga apa durian dan strwberry,,2022-02-04 06:32:39
405,kakungtino,"@tjapoenglaut saya rada heran sih, antigen bisa mendeteksi varian omicron? antigen dimanakah?  cepet sembuh pak @musniumar",,2022-02-04 06:32:27
406,_zombiefied,abis omicron namanya doomsday aja sekalian.,Indonesia,2022-02-04 06:32:02
407,RenaaAndriana,apa kah radang tenggorokan sekarang di bilang nya omicron ??,Hatimu ,2022-02-04 06:32:02
408,PanggaHasibuan,"@ed_tirta aallham dulillah tau omicron maupuasa dn,gk takut samafaksin,","Ingin Jaya, Indonesia",2022-02-04 06:31:59
409,lilackdrama,pengen nonton kukira kau rumah tapi takut ke trigger pas nontonnya terus nanti nangisnya ga kelar-kelar dan maskernya basah 😭 kan omicron lagi tinggi lagi yak dan aku lagi ga berani keluar rumah,,2022-02-04 06:31:42
410,natpsyh,maba its ini bawaannya pada banyak bener ya:(  gatau aja paling jg kuliah daring lagi karena kasus omicron dah mulai banyak:(,,2022-02-04 06:31:31
411,objektif_press,covid-19’da korkutan rakam!   #objektifpress #sağlık #covid19 #koronavirüs #omicron #bakan #fahrettinkoca #haber #gündem #güncel @drfahrettinkoca,,2022-02-04 06:31:27
412,EdyP3md,"omicron, gejala dan cara penanggulangannya @jokowi  @halimiskandarnu @kemendespdtt @malik_haramain @imansyukri @taufikmadjid71 @luthfiyahnurla1 @yusradaridesa  @azzameldzikrie  @sukoyokasekpro @koorprovsumut  @brigade01arwan1  @tppi_kab_asahan",Kisaran Sumut Indonesia,2022-02-04 06:31:09
413,BimasIslam,"lonjakan omicron, kemenag minta kua tingkatkan koordinasi dengan satgas covid-19  selengkapnya di:",Jakarta,2022-02-04 06:31:05
414,diengtravelid,"lagi jaman nya omicron, bosen ga si dengan isu-isu covid? terutama buat pelaku wisata. lagi mulai naik dijatuhin lagi. walau bosen dan bete tapi kita ga bosen kok buat ingetin kalian supaya tetap jaga kesehatan yaa.",Indonesia,2022-02-04 06:31:02
415,taudahyaa,"anjrit gejala yang gue rasain hampir mirip sama gejala omicron lagi, semoga ini cuma flu biasa🥺",,2022-02-04 06:30:54
416,GaneshaSundari,hari ini notifikasi hp penuh dengan kabar kolega yng positif covid-19 varian omicron. pemerintah memang sudah siap siaga akan virus ini nakun kita juga harus tetap menjaga protokol kesehatan di setiap aktivitas kita! yuk jaga kesehatannya!!!,,2022-02-04 06:30:34
417,detikhot,siti badriah tak menyangka terpapar covid-19 diduga jenis omicron saat hamil besar. dia tak mau menyalahkan siapapun.,"Jakarta, Indonesia",2022-02-04 06:30:05
418,persi88andung,@oposisicerdas klw konser dan pergelaran barongsay omicron kabur 😂,samping salaki batur ,2022-02-04 06:30:04
419,ElshintaTegal_,dokter rsup: mayoritas pasien omicron alami nyeri &amp; gatal tenggorokan,"Tegal, Jawa Tengah",2022-02-04 06:30:00
420,rantwonki,kira kira malam pertamanya gimana ya? botinya omicron apa delta?🤔,rant,2022-02-04 06:29:33
421,republikaonline,belum ada bukti subvarian ba.2 menyebabkan derajat keparahan lebih tinggi.,"Jakarta, Indonesia",2022-02-04 06:29:14
422,anaknyagondrong,"satu org terkonfirmasi positif varian omicron dikantor, stay safe ya gais 😷",Sebutan Kota Lumbung Padi,2022-02-04 06:28:45
423,Faleeshiaa,@stillyourbestie mati rasa? coba dicek kak barangkali omicron 🧐,,2022-02-04 06:28:42
424,GubernurPribumi,"artinya para marketing agent omicron telah gagal menakut2i masyarakat dengan angka positif bohongan.   btw, cara terbaik mengakhiri pandemi adalah: back to normal life right now.😊","Jakarta Capital Region, Indone",2022-02-04 06:28:38
425,grobogan_polres,"waspada omicron tingkatkan daya tahan tubuh, patuhi prokes. lindungi dirimu dan keluargamu dari covid-19.",,2022-02-04 06:28:38
426,StopPlandemit,"coba dari dulu kek gini enak ya pakdhe,gk perlu bawa ke rumah sakit.jadikan pelajaran knp banyak yg selesai dirumah sakit.",,2022-02-04 06:28:37
427,jabarekspres,"di tengah lonjakan kasus omicron, jokowi sampaikan 4 kabar baik","Jawa Barat, Indonesia",2022-02-04 06:28:32
428,GATRA_com,"omicron kian merebak, korsel perpanjang pembatasan kegiatan masyarakat","Jakarta, Indonesia",2022-02-04 06:28:01
429,marrywhoanna,"okeh, vaksin katanya gak bikin ga kena. fayn. tapi tapi katanya vaksin itu mencegah keparahan toh? artinya, kalopun kena kopit, ga parah.  nah skarang, kalo pada kena omicron, kenapa panik? kan udh vaksin? harusnya ga parah kan???  apa logika gw salah??","Jakarta, Indonesia 🇮🇩",2022-02-04 06:27:44
430,AdrisGaruda29,"@mrsrachelin shock ada dana saja mau bangun ikn.....urus minyak goreng n pertalite aja gak sanggup... covid n omicron byk negara udah pada lepas masker... indonesia katanya semakin melonjak atau sengaja di setting , apbn defisit byk tingkah.......emang negara ini milik kalian saja",République Démocratique Du Con,2022-02-04 06:27:12
431,SulisWidjaya,"virus covid dan omicron sudah bisa dikontrol, senyap waktu nataru dan imlek, merebak saat menjelang puasa sampai idul fitri",,2022-02-04 06:26:54
432,pikiran_rakyat,viral jokowi kembali timbulkan kerumunan warga di tengah ganasnya varian omicron   #viral #jokowi #bingkisan #kerumunan #omicron #prmn #pikiranrakyatmedianetwork #potensilokalgonasional #kolaborasimediapreneurnusantara #pikiranrakyat,"Bandung, Jawa Barat",2022-02-04 06:26:48
433,persi88andung,dan aing harus percaya omicron? punten otak abi masih berfungsi,samping salaki batur ,2022-02-04 06:26:35
434,Brutus04463720,@cnnindonesia spy menjelang berakhirnya tugas anies trakhir ada kerjaan dia yg gak becus urus omicron yg akan dikenang yg trakhir,,2022-02-04 06:26:29
435,hollaello,pas gempa bilangnya “santai aja kalo mati mah dimana aja bisa” pas omicron rame baru panik. eheheh,Jakarta,2022-02-04 06:26:17
436,goldeneagle2707,"@ronaldlampard8 pak jokowi hebat pembangunannya, no debat.  no debat juga, prokesnya mana? katanya omicron mematikan? ayo perhatikan 1 bulan lagi, apa ada kematian massal disini? pasti g ada. kalau g ada kematian massal, please stop mandatory pak, udah mental teori covid mematikan divideo ini.",,2022-02-04 06:26:16
437,detikcom,pasien corona positif omicron yang tidak bergejala atau bergejala ringan disarankan isolasi mandiri di rumah. kapan pasien omicron dinyatakan sembuh?,"Jakarta, Indonesia",2022-02-04 06:25:42
438,hajinewsonline,anda terinfeksi omicron? segera lakukan 7 langkah ini agar cepat sembuh,DKI Jakarta,2022-02-04 06:25:22
439,jojo_botak,@partaisocmed siang tum omicron bener2 cepet bgt nyebar nya,Planet earth,2022-02-04 06:25:03
440,BUMNTngselHadir,"#6  sobat bumn,  menteri bumn, erick thohir mengajak kepada seluruh masyarakat agar saling mengingatkan, dan saling menjaga untuk indonesia. hal tersebut sehubungan dengan kasus covid 19 omicron yang terus meningkat. mari kita taati protokol kesehatan.  #tetapwaspada",,2022-02-04 06:24:57
441,tribunkaltim,"bagi pasien yang terpapar covid-19 varian omicron namun tidak bergejala tak perlu dilarikan ke rumah sakit, namun hanya perlu isolasi mandiri.  #derajat #gejalacovid #varianomicron #pasien #positifcorona #takbergejala #rs    lewat @tribunkaltim","Balikpapan, Indonesia",2022-02-04 06:24:47
442,_winnerss,@pagi_baru @partono_adjem mungkin di alatnya ada tulisan omicron. 🤭,Earth,2022-02-04 06:24:38
443,TsaurohQisti,omicron was wes wos seperti angin ya,"Deket, Indonesia",2022-02-04 06:24:25
444,NurHarjanti1,@puthutea akun ig humas jogja sdh mulai post soal kasus omicron,,2022-02-04 06:24:21
445,sigitsupri,@edwar_rinaldo @dr_koko28 emang begitu mas anak saya juga sama. tapi kalau semua suruh sekuat tenaga mengurangi penyebaran virus omicron dg banyak pembatasan dg harapan yg udah komorbid banyak penyakit biar hidup abadi ya nggak masuk akal lah.,,2022-02-04 06:24:17
446,clazeey,covid omicron kontol,,2022-02-04 06:24:12
447,michelanugerah,kemaren abis baca gejala omicron yg mirip banget sama flu biasa.. meski udh seminggu ga kemanamana tp kok ttep ada parnoparnonya yak hmmm 🤦‍♂️,"Oslo, Norway",2022-02-04 06:23:42
448,giogemb,"day 2 kepala udah ga sakit, hidung ga pilek, tapi tenggorokan tetep ga enak nanti sore atau besok pagi pcr, kalo omicron fix ketularan ejar made",,2022-02-04 06:23:36
449,softassbaby,cuplikan dibawah ini mewakilkan perasaan saya terhadap omicron saat ini,,2022-02-04 06:23:28
450,CryptoKuta,"menteri bumn erick thohir,kita harus bangun optimisme umkm saat kasus omicron naik.untuk semua pelaku umkm harus semangat. . . . . pastiii bisaaaa...!  @erickthohir  #denganetmerdekaberdaulat",,2022-02-04 06:23:21
451,hampa80,"@musniumar lekas sembuh pak🙏 btw, bnran itu cuma antigen bisa nentuin hasil omicron? varian yg lainnya pada kmn? di takeover?🤔",,2022-02-04 06:23:20
452,gees_cha,"@banjarbase positif hamil apa omicron? wkwk kd papa, minumi ja obatnya berataan.. insyaallah laju ja kena sehatnya. mun hamil 9 bln kedepan beranak ae, mun omicron insyaallah seminggu ampih ae mun kdd penyakit bawaan","Kalimantan Selatan, Indonesia",2022-02-04 06:22:37
453,adtyputrprat,@partaisocmed @agusthokko coba dateng ke rs husada mangga besar tempat ibu saya kerja isinya kebanyakan omicron (ini tantangan),,2022-02-04 06:22:34
454,azkadotid,cara dapat obat gratis dan telemedicine resmi kemenkes untuk pasien isoman omicron,Sumenep,2022-02-04 06:22:33
455,1499Qieray,@azzamizzulhaq omluhut.. omicron nya mana omicron ??,,2022-02-04 06:22:01
456,bumnsmgenergik,"sobat bumn, menteri bumn, erick thohir mengajak kepada seluruh masyarakat agar saling mengingatkan, dan saling menjaga untuk indonesia. hal tersebut sehubungan dengan kasus covid 19 omicron yang terus meningkat. mari kita taati protokol kesehatan. #tetapwaspada",,2022-02-04 06:21:45
457,RockyAlvarez10,"@partaisocmed @ainunnajib tpi omicron kata pemerintah mild min alias g sekuat delta,,yg semoga rs g lumpuh kyk kemaren,,","Surakarta, Jawa Tengah",2022-02-04 06:21:39
458,chayoyyy,"gejala omicron hasil pcr negatif, luar biasa imun gw.. tau kalo positif ga bisa jalan-jalan and makan enak diluar 🥲",,2022-02-04 06:21:31
459,adammuzam,@kulupfans @khairykj omicron tak berjangkit kat babi. jangan risau 😊,,2022-02-04 06:21:22
460,faiztakhiran91,omicron tak ganas tapi masih sorok jumaat. apa nak jadi ni,shah alam ,2022-02-04 06:21:14
461,SakiinaQhiCO_33,@ariestarico2 waspadai omicron 💥💥,,2022-02-04 06:21:07
462,eradotid,tambahan kasus harian covid-19 mencapai 27 ribu kasus.,Jakarta Capital Region,2022-02-04 06:21:01
463,Pagi_Baru,"@partono_adjem sebentar2 dulu ""antigen"" hasilnya positiv covid varian omicron, itu di tes nya dimana ada antigen yg ketulis varian nya",,2022-02-04 06:20:51
464,jpnncom,pemkab banyumas menyiapkan skenario menghadapi ancaman lonjakan covid-19 menyusul ditemukannya kasus probable varian omicron di sana.  #covid-19,Indonesia,2022-02-04 06:20:02
